iter	Passed	Remaining
0	197	197403
1	205	102703
2	213	70788
3	219	54679
4	225	44968
5	231	38419
6	237	33722
7	243	30151
8	249	27491
9	256	25367
10	262	23620
11	268	22071
12	274	20818
13	279	19684
14	284	18710
15	290	17847
16	295	17065
17	300	16381
18	305	15787
19	310	15226
20	315	14714
21	321	14271
22	325	13838
23	330	13437
24	336	13112
25	340	12767
26	347	12509
27	353	12256
28	356	11951
29	360	11671
30	364	11399
31	368	11144
32	371	10893
33	375	10661
34	378	10441
35	382	10254
36	386	10057
37	390	9874
38	394	9728
39	400	9610
40	404	9450
41	408	9306
42	411	9163
43	417	9062
44	420	8926
45	423	8792
46	427	8668
47	431	8564
48	435	8448
49	438	8336
50	442	8228
51	446	8143
52	450	8042
53	453	7944
54	457	7852
55	462	7789
56	466	7710
57	469	7632
58	473	7559
59	478	7501
60	482	7428
61	485	7352
62	489	7279
63	493	7219
64	497	7149
65	500	7079
66	503	7015
67	507	6953
68	511	6898
69	514	6836
70	518	6782
71	521	6725
72	526	6680
73	529	6625
74	535	6601
75	539	6561
76	544	6521
77	548	6479
78	552	6438
79	556	6395
80	559	6351
81	563	6304
82	566	6257
83	569	6212
84	573	6177
85	577	6136
86	580	6093
87	584	6053
88	587	6017
89	591	5979
90	594	5938
91	597	5900
92	601	5862
93	605	5832
94	608	5797
95	611	5761
96	615	5728
97	619	5697
98	622	5666
99	625	5633
100	630	5615
101	634	5583
102	638	5556
103	641	5524
104	644	5493
105	647	5463
106	652	5441
107	655	5413
108	658	5385
109	662	5357
110	665	5329
111	669	5305
112	672	5278
113	675	5250
114	678	5224
115	682	5203
116	686	5178
117	689	5152
118	692	5128
119	695	5098
120	699	5080
121	702	5056
122	705	5033
123	709	5009
124	712	4988
125	716	4970
126	719	4948
127	723	4925
128	726	4905
129	730	4887
130	733	4867
131	736	4845
132	740	4823
133	743	4806
134	748	4798
135	752	4778
136	755	4759
137	758	4740
138	763	4726
139	766	4708
140	769	4689
141	773	4671
142	776	4654
143	780	4639
144	783	4622
145	788	4613
146	792	4601
147	796	4585
148	799	4568
149	803	4551
150	806	4534
151	810	4523
152	814	4507
153	817	4490
154	820	4474
155	824	4459
156	829	4452
157	832	4436
158	835	4421
159	839	4408
160	843	4396
161	847	4381
162	850	4366
163	853	4351
164	857	4340
165	861	4326
166	864	4311
167	867	4297
168	871	4283
169	875	4272
170	878	4258
171	881	4243
172	884	4230
173	888	4216
174	891	4204
175	894	4190
176	898	4176
177	902	4165
178	906	4159
179	910	4147
180	914	4138
181	918	4128
182	923	4121
183	927	4111
184	930	4100
185	935	4091
186	939	4084
187	943	4073
188	946	4062
189	950	4054
190	956	4050
191	960	4042
192	964	4032
193	969	4026
194	973	4016
195	976	4007
196	980	3997
197	987	3998
198	990	3988
199	994	3979
200	1000	3976
201	1005	3973
202	1011	3969
203	1017	3969
204	1021	3961
205	1026	3957
206	1030	3949
207	1035	3943
208	1040	3938
209	1045	3931
210	1048	3921
211	1051	3910
212	1055	3899
213	1058	3888
214	1062	3877
215	1065	3866
216	1068	3854
217	1071	3844
218	1075	3833
219	1078	3822
220	1081	3812
221	1084	3802
222	1088	3792
223	1091	3782
224	1094	3771
225	1097	3760
226	1101	3750
227	1104	3739
228	1107	3729
229	1110	3718
230	1113	3707
231	1116	3697
232	1119	3686
233	1123	3676
234	1125	3665
235	1128	3654
236	1132	3644
237	1135	3634
238	1138	3623
239	1141	3613
240	1144	3603
241	1147	3595
242	1150	3585
243	1153	3575
244	1159	3573
245	1164	3569
246	1168	3561
247	1171	3552
248	1174	3543
249	1178	3534
250	1179	3521
251	1183	3512
252	1186	3503
253	1189	3494
254	1193	3486
255	1196	3477
256	1199	3467
257	1202	3457
258	1205	3450
259	1209	3441
260	1212	3432
261	1215	3422
262	1218	3413
263	1221	3405
264	1224	3396
265	1227	3387
266	1230	3377
267	1233	3369
268	1236	3360
269	1239	3351
270	1242	3342
271	1245	3333
272	1248	3325
273	1251	3316
274	1254	3308
275	1257	3299
276	1260	3290
277	1263	3282
278	1266	3273
279	1269	3265
280	1272	3256
281	1275	3248
282	1278	3239
283	1281	3231
284	1284	3222
285	1287	3214
286	1290	3206
287	1293	3197
288	1298	3195
289	1301	3187
290	1304	3179
291	1307	3171
292	1311	3163
293	1314	3156
294	1317	3148
295	1320	3140
296	1323	3132
297	1326	3124
298	1329	3116
299	1332	3109
300	1335	3101
301	1338	3093
302	1341	3086
303	1344	3079
304	1347	3071
305	1350	3063
306	1353	3055
307	1356	3047
308	1359	3039
309	1362	3032
310	1365	3024
311	1368	3017
312	1372	3011
313	1375	3004
314	1378	2997
315	1381	2990
316	1384	2982
317	1387	2976
318	1390	2968
319	1393	2961
320	1396	2954
321	1399	2947
322	1402	2940
323	1406	2933
324	1409	2927
325	1413	2921
326	1416	2916
327	1420	2909
328	1423	2902
329	1426	2895
330	1429	2888
331	1432	2882
332	1435	2875
333	1438	2868
334	1441	2862
335	1444	2855
336	1448	2848
337	1451	2842
338	1454	2835
339	1457	2828
340	1460	2821
341	1463	2816
342	1467	2810
343	1470	2803
344	1473	2796
345	1476	2790
346	1479	2783
347	1482	2777
348	1485	2770
349	1488	2763
350	1492	2759
351	1495	2753
352	1498	2746
353	1501	2739
354	1504	2732
355	1507	2726
356	1510	2720
357	1513	2713
358	1516	2707
359	1519	2700
360	1522	2694
361	1525	2688
362	1528	2681
363	1530	2675
364	1534	2668
365	1539	2667
366	1543	2661
367	1546	2655
368	1549	2649
369	1552	2643
370	1555	2637
371	1558	2631
372	1561	2624
373	1564	2618
374	1567	2612
375	1570	2606
376	1573	2600
377	1576	2593
378	1579	2587
379	1583	2584
380	1586	2577
381	1589	2571
382	1592	2565
383	1595	2559
384	1598	2553
385	1601	2547
386	1604	2541
387	1607	2535
388	1610	2529
