iter	Passed	Remaining
0	13	13318
1	23	11647
2	30	10151
3	39	9889
4	46	9305
5	55	9136
6	60	8596
7	69	8672
8	82	9042
9	93	9233
10	108	9724
11	124	10232
12	130	9905
13	146	10283
14	162	10666
15	176	10879
16	195	11316
17	206	11250
18	220	11381
19	226	11107
20	238	11140
21	258	11482
22	266	11332
23	276	11233
24	285	11138
25	293	10989
26	305	11004
27	322	11189
28	338	11323
29	351	11366
30	360	11268
31	372	11279
32	386	11315
33	416	11827
34	428	11820
35	447	11983
36	463	12067
37	471	11947
38	480	11850
39	487	11693
40	500	11699
41	513	11705
42	519	11551
43	527	11466
44	536	11387
45	548	11365
46	553	11221
47	560	11122
48	569	11052
49	578	10986
50	585	10893
51	592	10810
52	600	10721
53	605	10614
54	610	10492
55	618	10428
56	623	10319
57	628	10207
58	636	10148
59	641	10056
60	651	10023
61	657	9952
62	665	9897
63	672	9831
64	680	9782
65	685	9706
66	691	9627
67	698	9566
68	702	9482
69	707	9403
70	718	9403
71	725	9345
72	733	9318
73	740	9268
74	751	9273
75	798	9705
76	807	9677
77	868	10263
78	878	10237
79	901	10372
80	912	10353
81	937	10493
82	950	10499
83	973	10611
84	985	10604
85	1009	10730
86	1018	10689
87	1045	10840
88	1077	11030
89	1093	11059
90	1118	11173
91	1127	11131
92	1142	11137
93	1151	11096
94	1169	11136
95	1198	11289
96	1208	11250
97	1223	11261
98	1232	11217
99	1249	11249
100	1261	11227
101	1286	11329
102	1299	11319
103	1328	11449
104	1341	11435
105	1365	11515
106	1377	11500
107	1392	11502
108	1402	11468
109	1411	11416
110	1422	11396
111	1452	11515
112	1462	11481
113	1496	11631
114	1509	11614
115	1523	11613
116	1543	11647
117	1550	11589
118	1559	11545
119	1568	11498
120	1573	11429
121	1579	11366
122	1585	11307
123	1592	11251
124	1598	11192
125	1605	11137
126	1611	11076
127	1618	11022
128	1624	10968
129	1631	10915
130	1636	10855
131	1641	10793
132	1648	10743
133	1654	10689
134	1660	10636
135	1665	10583
136	1672	10535
137	1677	10476
138	1685	10440
139	1691	10388
140	1708	10407
141	1715	10367
142	1720	10311
143	1725	10255
144	1730	10206
145	1736	10158
146	1741	10104
147	1749	10074
148	1754	10021
149	1759	9972
150	1770	9957
151	1775	9906
152	1793	9927
153	1807	9930
154	1819	9916
155	1823	9865
156	1830	9830
157	1838	9795
158	1847	9772
159	1858	9755
160	1865	9720
161	1870	9677
162	1880	9656
163	1886	9615
164	1894	9585
165	1899	9545
166	1908	9521
167	1915	9485
168	1922	9453
169	1931	9432
170	1944	9424
171	1951	9396
172	1962	9380
173	1968	9344
174	1978	9325
175	1982	9282
176	1996	9281
177	2000	9237
178	2008	9212
179	2015	9180
180	2021	9146
181	2027	9111
182	2032	9075
183	2039	9043
184	2045	9012
185	2052	8983
186	2057	8946
187	2063	8910
188	2069	8881
189	2075	8850
190	2080	8812
191	2089	8791
192	2094	8759
193	2100	8726
194	2109	8707
195	2114	8671
196	2120	8644
197	2126	8612
198	2132	8582
199	2135	8542
200	2141	8514
201	2149	8491
202	2155	8462
203	2162	8437
204	2168	8410
205	2175	8383
206	2180	8352
207	2185	8320
208	2190	8289
209	2195	8260
210	2201	8232
211	2208	8207
212	2216	8187
213	2222	8163
214	2229	8138
215	2235	8115
216	2241	8088
217	2247	8063
218	2253	8035
219	2259	8011
220	2265	7986
221	2272	7962
222	2277	7934
223	2283	7909
224	2288	7884
225	2295	7860
226	2300	7834
227	2307	7811
228	2312	7786
229	2318	7760
230	2326	7743
231	2333	7723
232	2340	7702
233	2345	7679
234	2352	7658
235	2359	7638
236	2363	7610
237	2369	7585
238	2373	7558
239	2379	7535
240	2384	7509
241	2390	7487
242	2397	7467
243	2404	7448
244	2409	7425
245	2414	7401
246	2420	7380
247	2427	7359
248	2432	7337
249	2439	7317
250	2444	7295
251	2449	7271
252	2454	7247
253	2459	7223
254	2465	7202
255	2471	7182
256	2476	7160
257	2482	7139
258	2488	7118
259	2494	7100
260	2502	7086
261	2508	7065
262	2515	7048
263	2521	7028
264	2531	7020
265	2535	6997
266	2541	6978
267	2557	6985
268	2569	6983
269	2579	6974
270	2589	6965
271	2600	6960
272	2606	6941
273	2614	6928
274	2620	6909
275	2632	6905
276	2655	6932
277	2666	6925
278	2678	6922
279	2684	6903
280	2689	6882
281	2697	6867
282	2703	6850
283	2717	6850
284	2732	6855
285	2743	6849
286	2751	6836
287	2762	6829
288	2769	6814
289	2778	6802
290	2787	6790
291	2797	6783
292	2807	6774
293	2813	6755
294	2818	6736
295	2827	6724
296	2834	6708
297	2841	6693
298	2847	6676
299	2858	6670
300	2866	6657
301	2875	6645
302	2883	6633
303	2891	6618
304	2895	6598
305	2909	6599
306	2917	6584
307	2924	6570
308	2932	6556
309	2939	6543
310	2946	6528
311	2955	6516
312	2964	6506
313	2973	6495
314	2981	6482
315	2989	6471
316	3001	6465
317	3008	6451
318	3017	6442
319	3022	6423
320	3028	6406
321	3039	6399
322	3046	6386
323	3057	6379
324	3068	6374
325	3075	6357
326	3080	6340
327	3086	6323
328	3093	6308
329	3100	6294
330	3106	6277
331	3111	6259
332	3119	6248
333	3125	6231
334	3131	6215
335	3136	6198
336	3142	6182
337	3148	6167
338	3153	6148
339	3158	6130
340	3164	6114
341	3169	6097
342	3174	6080
343	3180	6064
344	3185	6047
345	3190	6030
346	3197	6016
347	3204	6003
348	3211	5989
349	3215	5971
350	3221	5955
351	3227	5941
352	3232	5924
353	3238	5909
354	3244	5895
355	3250	5880
356	3256	5864
357	3262	5850
358	3268	5836
359	3275	5823
360	3281	5808
361	3289	5796
362	3295	5782
363	3301	5768
364	3309	5758
365	3315	5743
366	3320	5727
367	3327	5713
368	3333	5701
369	3340	5687
370	3345	5672
371	3350	5656
372	3357	5643
373	3363	5629
374	3370	5617
375	3376	5604
376	3384	5592
377	3389	5578
378	3395	5564
379	3401	5550
380	3406	5534
381	3411	5518
382	3417	5505
383	3423	5491
384	3428	5477
385	3434	5463
386	3441	5450
387	3446	5435
388	3453	5424
389	3460	5412
390	3467	5401
391	3474	5389
392	3481	5376
393	3486	5362
394	3492	5348
395	3498	5336
396	3503	5321
397	3509	5308
398	3515	5294
399	3520	5281
400	3526	5267
401	3533	5255
402	3539	5243
403	3546	5231
404	3552	5219
405	3561	5209
406	3566	5196
407	3571	5182
408	3578	5170
409	3583	5156
410	3588	5141
411	3596	5133
412	3601	5119
413	3606	5104
414	3612	5092
415	3617	5078
416	3622	5064
417	3627	5050
418	3631	5035
419	3636	5021
420	3641	5008
421	3646	4994
422	3651	4981
423	3656	4967
424	3661	4954
425	3668	4943
426	3675	4931
427	3681	4919
428	3687	4907
429	3699	4903
430	3705	4891
431	3711	4880
432	3717	4868
433	3725	4858
434	3731	4846
435	3737	4834
436	3742	4822
437	3745	4806
438	3751	4794
439	3758	4783
440	3763	4770
441	3769	4758
442	3774	4745
443	3780	4734
444	3788	4724
445	3793	4712
446	3798	4699
447	3805	4689
448	3810	4675
449	3816	4664
450	3821	4652
451	3827	4640
452	3833	4629
453	3839	4618
454	3846	4607
455	3850	4593
456	3855	4581
457	3861	4570
458	3868	4559
459	3873	4547
460	3881	4538
461	3886	4525
462	3892	4514
463	3898	4503
464	3905	4493
465	3910	4481
466	3917	4471
467	3923	4460
468	3929	4449
469	3935	4437
470	3941	4426
471	3947	4415
472	3953	4404
473	3959	4393
474	3967	4384
475	3973	4374
476	3979	4362
477	3982	4349
478	3988	4338
479	3998	4331
480	4004	4320
481	4011	4311
482	4016	4299
483	4022	4288
484	4029	4278
485	4035	4267
486	4042	4258
487	4047	4246
488	4052	4234
489	4057	4223
490	4062	4211
491	4069	4201
492	4076	4192
493	4082	4181
494	4087	4170
495	4095	4161
496	4101	4151
497	4107	4140
498	4113	4130
499	4118	4118
500	4124	4108
501	4129	4096
502	4134	4085
503	4142	4076
504	4147	4065
505	4155	4057
506	4162	4048
507	4169	4037
508	4177	4030
509	4183	4019
510	4191	4010
511	4197	4000
512	4204	3991
513	4209	3980
514	4215	3970
515	4222	3960
516	4228	3950
517	4237	3942
518	4242	3932
519	4248	3921
520	4255	3912
521	4258	3899
522	4265	3890
523	4272	3880
524	4277	3869
525	4285	3861
526	4290	3850
527	4296	3841
528	4301	3829
